timestamp,project_id,budget,project_location,tower_type,substation_type,tax_rate,project_size_km,project_start_month,project_end_month,lead_time_days,commodity_price_index,region_risk_flag,quantity_steel_tons,quantity_copper_tons,quantity_cement_tons,quantity_aluminum_tons,quantity_insulators_count,quantity_conductors_tons,quantity_transformers_count,quantity_switchgears_count,quantity_cables_count,quantity_protective_relays_count,quantity_oil_tons,quantity_foundation_concrete_tons,quantity_bolts_count
01-01-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,54,100.73,Low,23.32,2.25,16.83,1.83,30,18.46,1,4,6,4,2.19,11.48,1120
01-02-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,44,102.55,Low,28.65,2.87,21.49,2.25,37,22.51,1,4,7,4,2.43,14.2,1120
01-03-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,30,103.58,Low,36.19,3.68,26.74,2.88,48,28.63,2,3,7,5,2.31,18.36,1120
01-04-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,59,104.6,Low,42.92,4.36,32.69,3.42,57,34.77,2,3,5,5,2.11,21.76,1120
01-05-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,44,105.57,Low,48.33,4.82,36.63,3.96,65,39.22,2,4,6,4,2.1,24.45,1120
01-06-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,50,108,Low,51.9,5.33,38.94,4.18,69,41.29,1,4,5,5,2.12,26.19,1120
01-07-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,59,107.08,Low,38.55,3.72,28.57,3.03,50,29.94,2,3,7,5,2.14,18.94,1120
01-08-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,52,107.05,Low,32.58,3.26,25.04,2.6,43,25.99,2,4,6,5,2.21,16.44,1120
01-09-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,38,106.32,Low,36.51,3.64,27.75,2.91,47,29.51,2,4,7,4,2.41,18.31,1120
01-10-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,30,111.04,Low,32.04,3.21,23.49,2.51,41,25.3,1,4,6,5,2.15,15.54,1120
