timestamp,project_id,budget,project_location,tower_type,substation_type,tax_rate,project_size_km,project_start_month,project_end_month,lead_time_days,commodity_price_index,region_risk_flag,quantity_steel_tons,quantity_copper_tons,quantity_cement_tons,quantity_aluminum_tons,quantity_insulators_count,quantity_conductors_tons,quantity_transformers_count,quantity_switchgears_count,quantity_cables_count,quantity_protective_relays_count,quantity_oil_tons,quantity_foundation_concrete_tons,quantity_bolts_count,start_date,end_date,project_duration_days,season
01-01-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,54,100.73,Low,27.568712328767123,2.25,16.83,1.83,30,18.46,1,4,6,4,2.19,11.48,1120,2024-10-30,2025-03-12,133,Winter
01-02-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,44,102.55,Low,32.96712328767123,2.87,21.49,2.25,37,22.51,1,4,7,4,2.43,14.2,1120,2025-01-10,2025-04-30,110,Winter
01-03-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,30,103.58,Low,39.66523150684931,3.68,26.74,2.88,48,28.63,2,3,7,5,2.31,18.36,1120,2024-08-28,2025-02-03,159,Monsoon
01-04-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,59,104.6,Low,48.62306849315068,4.36,32.69,3.42,57,34.77,2,3,5,5,2.11,21.76,1120,2024-11-27,2025-03-04,97,Winter
01-05-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,44,105.57,Low,62.3390794520548,4.82,36.63,3.96,65,39.22,2,4,6,4,2.1,24.45,1120,2024-04-03,2024-08-07,126,Summer
01-06-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,50,108.0,Low,64.98875342465753,5.33,38.94,4.18,69,41.29,1,4,5,5,2.12,26.19,1120,2025-06-14,2025-09-23,101,Summer
01-07-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,59,107.08,Low,40.82603424657534,3.72,28.57,3.03,50,29.94,2,3,7,5,2.14,18.94,1120,2024-07-21,2024-11-27,129,Monsoon
01-08-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,52,107.05,Low,37.26616438356164,3.26,25.04,2.6,43,25.99,2,4,6,5,2.21,16.44,1120,2024-10-27,2025-02-09,105,Winter
01-09-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,38,106.32,Low,47.31295890410959,3.64,27.75,2.91,47,29.51,2,4,7,4,2.41,18.31,1120,2022-05-05,2022-09-12,130,Summer
01-10-2025,P0001,36958754.92,North,Tension,132 kV AIS,18,150,1,10,30,111.04,Low,41.472049315068496,3.21,23.49,2.51,41,25.3,1,4,6,5,2.15,15.54,1120,2022-03-08,2022-07-15,129,Summer
01-03-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,48,101.77,Medium,46.78164383561644,3.66,27.0,2.93,82,29.04,1,3,5,5,2.35,17.95,1246,2024-05-13,2024-09-20,130,Summer
